得分,代码,转债名称,现价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,评价,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,到期税前收益,到期税后收益,成交额(万元)
108.46,113025,明泰转债,98.080,-0.26%,明泰铝业,10.21,-0.97%,0.99,11.490,88.86,10.38%,AA,8.04,14.94,30.5%,25-04-09,5.830,2.90%,2.40%,1749.32
109.011,128049,华源转债,102.741,-0.10%,华源控股,7.27,-0.55%,1.52,7.520,96.68,6.27%,AA-,5.26,9.78,17.7%,24-11-27,5.466,2.25%,1.72%,144.30
109.279,128062,亚药转债,99.719,-0.50%,亚太药业,14.79,-1.14%,3.09,16.250,91.02,9.56%,AA,11.38,21.12,12.2%,25-04-02,5.811,3.31%,2.69%,1513.05
109.30999999999999,113526,联泰转债,110.490,0.07%,联泰环保,9.75,-0.71%,2.47,8.720,111.81,-1.18%,AA,6.10,11.34,13.4%,25-01-22,5.619,0.10%,-0.27%,97.49
109.553,128039,三力转债,109.003,0.11%,三力士,6.32,3.95%,2.22,5.830,108.40,0.55%,AA-,4.08,7.58,6.2%,24-06-07,4.992,0.24%,-0.14%,4045.51
109.61,113527,维格转债,98.130,-0.06%,维格娜丝,9.26,-0.54%,0.91,10.520,88.02,11.48%,AA,7.36,13.68,31.9%,25-01-23,5.622,3.83%,3.16%,1716.66
109.721,123012,万顺转债,103.671,-0.89%,万顺新材,5.24,-1.87%,1.10,5.360,97.76,6.05%,AA-,3.75,6.97,4.9%,24-07-20,5.110,1.43%,1.01%,74.15
109.79,113521,科森转债,99.730,-0.42%,科森科技,8.11,-1.82%,1.78,8.950,90.61,10.06%,AA,6.26,11.63,18.2%,24-11-16,5.436,2.83%,2.29%,312.24
109.82,113523,伟明转债,112.020,0.04%,伟明环保,20.01,-0.25%,5.61,17.470,114.54,-2.20%,AA,12.23,22.71,3.6%,24-12-10,5.501,0.54%,0.04%,828.41
110.061,128026,众兴转债,95.501,0.69%,众兴菌业,9.62,2.89%,1.31,11.540,83.36,14.56%,AA-,8.08,15.00,26.0%,23-12-13,4.507,3.45%,2.97%,2591.72
110.36200000000001,123023,迪森转债,97.992,-0.30%,迪森股份,6.27,-0.63%,1.44,7.190,87.20,12.37%,AA,5.03,9.35,26.4%,25-03-20,5.775,2.91%,2.42%,175.16
110.491,128063,未来转债,104.821,-0.17%,德尔未来,8.61,-1.15%,3.42,8.680,99.19,5.67%,AA-,6.08,11.28,11.0%,25-04-03,5.814,3.69%,2.85%,1010.29
110.55,113514,威帝转债,100.050,-0.15%,威帝股份,5.36,0.00%,2.91,5.920,90.54,10.50%,A+,4.14,7.70,8.6%,23-07-20,4.107,2.72%,2.18%,167.78
110.63499999999999,128034,江银转债,105.205,0.20%,江阴银行,4.67,-1.27%,0.92,4.680,99.79,5.43%,AA+,-,6.08,17.3%,24-01-26,4.627,0.90%,0.51%,966.02
110.66,127007,湖广转债,109.850,0.78%,湖北广电,8.63,1.17%,0.87,7.920,108.96,0.81%,AA+,5.54,10.30,22.5%,24-06-28,5.049,0.68%,0.19%,1938.50
110.928,128025,特一转债,106.478,0.59%,特一药业,15.75,1.09%,3.10,15.450,101.94,4.45%,AA-,10.81,20.09,10.7%,23-12-06,4.488,0.80%,0.37%,122.23
111.22999999999999,128048,张行转债,103.050,-0.27%,张家港行,5.63,-1.92%,0.99,5.910,95.26,8.18%,AA+,-,7.68,24.6%,24-11-12,5.425,1.97%,1.48%,1760.78
